# sly4.eos converted to units with G=c=Msun=1
#
# rho0=nB*mB           epsl=(rho-rho0)/rho0    P
#
2.3858284356871182e-06 4.2147982089790759e-05 2.8621221304177335e-09
2.5674506012247952e-06 1.2985650535801696e-04 3.0521249502924931e-09
2.7628988284026179e-06 2.1687932190461723e-04 3.2631893025631208e-09
2.9732256318181772e-06 3.0344190679043592e-04 3.4975568059231553e-09
3.1995636491733237e-06 3.8976262615308954e-04 3.7581944557206070e-09
3.4431317406782613e-06 4.7605110828574659e-04 4.0476531558209613e-09
3.7052415527752055e-06 5.6251050788502788e-04 4.3697907007802173e-09
3.9873045815283354e-06 6.4933642720910179e-04 4.7275386272717944e-09
4.2908397737170191e-06 7.3671714255585385e-04 5.1256660157487381e-09
4.6174817065654917e-06 8.2483748430695059e-04 5.5681302850665924e-09
4.9689893901578133e-06 9.1387064653170036e-04 6.0597124248781471e-09
5.3472557399401440e-06 1.0039900172189586e-03 6.6068168621947428e-09
5.7543177703212178e-06 1.0953660463244308e-03 7.2148397868663503e-09
6.1923675642649094e-06 1.1881559798923025e-03 7.8899262015930832e-09
6.6637640779472332e-06 1.2825138463294916e-03 8.6402054853032580e-09
7.1710458440480974e-06 1.3785927664213826e-03 9.4735682909347546e-09
7.7169446420859134e-06 1.4765363484958716e-03 1.0398193369521305e-08
8.3044002094123076e-06 1.5764801865483236e-03 1.1423791859625278e-08
8.9365760720873195e-06 1.6785648744839232e-03 1.2563317685644386e-08
9.6168765808861984e-06 1.7829352261053977e-03 1.3828621064049995e-08
1.0348965244179414e-05 1.8897245286151332e-03 1.5231353930258066e-08
1.1136784456410738e-05 1.9990559124665186e-03 1.6785913768905134e-08
1.1984576728413369e-05 2.1110467624598783e-03 1.8507358237445225e-08
1.2896907533893152e-05 2.2258084017521274e-03 2.0412822409134686e-08
1.3878689895109073e-05 2.3434484172961678e-03 2.2521119743278011e-08
1.4935210840149124e-05 2.4640698238618253e-03 2.4852478223109650e-08
1.6072159874277223e-05 2.5877703443339950e-03 2.7429097829041582e-08
1.7295659618672488e-05 2.7146428309290371e-03 3.0275279385577852e-08
1.8612298781555619e-05 2.8447755772886829e-03 3.3417645497541612e-08
2.0029167639255780e-05 2.9782524648893638e-03 3.6885240655842840e-08
2.1553896218287552e-05 3.1151532601285670e-03 4.0709965120227351e-08
2.3194695384055109e-05 3.2555589942955265e-03 4.4929938901241017e-08
2.4960401057449778e-05 3.3995548764709227e-03 4.9585718892829015e-08
2.6860521797454857e-05 3.5472226736164014e-03 5.4718218826888602e-08
2.8905290005995809e-05 3.6986363710540537e-03 6.0372545165341465e-08
3.1105717030779696e-05 3.8538641989345201e-03 6.6598516601765959e-08
3.3473652462861737e-05 4.0129703380149540e-03 7.3451003499776277e-08
3.6021847948263417e-05 4.1760164857602700e-03 8.0990708452946210e-08
3.8764025857274990e-05 4.3430634033478910e-03 8.9284691849490308e-08
4.1714953181237913e-05 4.5141726525301795e-03 9.8407633470518989e-08
4.4890521054749998e-05 4.6894086560800297e-03 1.0844274489059776e-07
4.8307830331529706e-05 4.8688409560584400e-03 1.1948338562787612e-07
5.1985283674780156e-05 5.0525470887898827e-03 1.3163496342583927e-07
5.5942684657967480e-05 5.2406159829703203e-03 1.4501720777933851e-07
6.0201344409688196e-05 5.4331519299033459e-03 1.5976705186191619e-07
6.4784196376920579e-05 5.6302794013671775e-03 1.7604249757607315e-07
6.9715919824674022e-05 5.8321485092893699e-03 1.9402658055054839e-07
7.5023072737101163e-05 6.0389424387645718e-03 2.1393583414447505e-07
8.0734234835762073e-05 6.2508824820382003e-03 2.3601698440172799e-07
8.6880161485209328e-05 6.4682459622193988e-03 2.6059443267737904e-07
9.3493949314703067e-05 6.6913539037918301e-03 2.8796130496464428e-07
1.0061121444794248e-04 6.9206455187984517e-03 3.1875314149653069e-07
1.0827028430061123e-04 7.1566088319787724e-03 3.5316821852197842e-07
1.1651240397858994e-04 7.3972939804554105e-03 3.8385343400661353e-07
1.2538195838831384e-04 7.6384066378880622e-03 4.1018915331062603e-07
1.3492671125537491e-04 7.8781526193127949e-03 4.3954278904324356e-07
1.4519806233851418e-04 8.1206810198179991e-03 4.8659335260706889e-07
1.5625132422412863e-04 8.3730986112244832e-03 5.5158395408698453e-07
1.6814602019188144e-04 8.6388818719789207e-03 6.2474690684372087e-07
1.8094620475544494e-04 8.9205278075770167e-03 7.1735590993084860e-07
1.9472080860454487e-04 9.2224635999049731e-03 8.3149544631158043e-07
2.0954400980585904e-04 9.5487722132652220e-03 9.7024668365437518e-07
2.2549563326172993e-04 9.9042414247858535e-03 1.1426366011033803e-06
2.4266158057784131e-04 1.0294867625473048e-02 1.3567178486694635e-06
2.6113429265474820e-04 1.0727553841894055e-02 1.6233387394061580e-06
2.8101324749436912e-04 1.1210407533073674e-02 1.9563376683097515e-06
3.0240549590220700e-04 1.1752945064368303e-02 2.3730261771202854e-06
3.2542623797012497e-04 1.2366296882095451e-02 2.8951270659431571e-06
3.5019944344409323e-04 1.3063458282957630e-02 3.5498991870225105e-06
3.7685851931770732e-04 1.3859604946346193e-02 4.3717645819636494e-06
4.0554702824651301e-04 1.4772447915975873e-02 5.4037733887672978e-06
4.3641946165193013e-04 1.5822552289828984e-02 6.6990439809180478e-06
4.6964207167803085e-04 1.7033703454535365e-02 8.3237749148645709e-06
5.0539376648135129e-04 1.8433375982012112e-02 1.0360206133327359e-05
5.4386707367502253e-04 2.0053257734250041e-02 1.2910432501994979e-05
5.8526917711547964e-04 2.1929848268894103e-02 1.6101043629713551e-05
6.2982303261496504e-04 2.4105138637164014e-02 2.0088847378100497e-05
6.7776856858813288e-04 2.6627384891848793e-02 2.5067901837386269e-05
7.2936397809833205e-04 2.9551988061818468e-02 3.1278159885828333e-05
7.8488710926146767e-04 3.2942495707849240e-02 3.9016095742354339e-05
8.4463696149492335e-04 3.6871741548797132e-02 4.8647745572005776e-05
9.0893529566902283e-04 4.1423142044480166e-02 6.0624729149548805e-05
9.7812836683195152e-04 4.6692171913424341e-02 7.5503915029981458e-05
1.0525887888390754e-03 5.2788042216117104e-02 9.3971529635338081e-05
1.1327175409278972e-03 5.9835606789828688e-02 1.1687269213571642e-04
1.2189461270444002e-03 6.7977525302978403e-02 1.4524755529125478e-04
1.3117388995489416e-03 7.7376713133002761e-02 1.8037546318559834e-04
1.4115955598152420e-03 8.8219109516239458e-02 2.2382880283684935e-04
1.5190538491885056e-03 1.0071679570024616e-01 2.7753852614772969e-04
1.6346924447937748e-03 1.1511149317083547e-01 3.4387362315361472e-04
1.7591340757889308e-03 1.3167846841790443e-01 4.2573719246938763e-04
1.8930488768437296e-03 1.5073086262770019e-01 5.2668197851533471e-04
2.0371579969037422e-03 1.7262444856663572e-01 6.5104839093448996e-04
2.1922374826730175e-03 1.9776278895144195e-01 8.0412779917644320e-04
2.3591224577283556e-03 2.2660271450451019e-01 9.9235251364634372e-04
2.5387116197704250e-03 2.5966011019152235e-01 1.2235234608813073e-03
2.7319720802299794e-03 2.9751599521813832e-01 1.5070736143415935e-03
2.9399445722909897e-03 3.4082230136603631e-01 1.8543336483953128e-03
3.1637490553767353e-03 3.9030735168320585e-01 2.2788806443843979e-03
3.4045907462797297e-03 4.4678054915317000e-01 2.7968400559359495e-03
3.6637666094137471e-03 5.1113636779378457e-01 3.4273388729198586e-03
3.9426723411390557e-03 5.8435782907888223e-01 4.1929040362469003e-03
4.2428098857722621e-03 6.6751931618756943e-01 5.1200254883948708e-03
4.5657955237553612e-03 7.6179113418118094e-01 6.2399629986004930e-03
4.9133685755401602e-03 8.6844749387795561e-01 7.5897809737558624e-03
5.2874007680592415e-03 9.8888041615717603e-01 9.2139263561944063e-03
5.6899063142235133e-03 1.1246220717949473e+00 1.1166273472949208e-02
6.1230527597256655e-03 1.2773756552933859e+00 1.3512669000659975e-02
6.5891726555607575e-03 1.4490533974735431e+00 1.6333893517850900e-02
7.0907761191224359e-03 1.6418190752235304e+00 1.9729015584498702e-02
7.6305643515177093e-03 1.8581325063319234e+00 2.3819196523195196e-02
8.2114441838926286e-03 2.1007943710748291e+00 2.8752058061058187e-02
8.8365437311033208e-03 2.3729910999107022e+00 3.4706875900564677e-02
9.5092292370287518e-03 2.6783409148900352e+00 4.1900862530287936e-02
1.0233123202240020e-02 3.0209426363294103e+00 5.0596807976731752e-02
1.1012123891646054e-02 3.4054289866586078e+00 6.1112391891045059e-02
1.1850426327166333e-02 3.8370261249211426e+00 7.3831536068080350e-02
1.2752544878479851e-02 4.3216209574356297e+00 8.9218188311660160e-02
1.3723337573503995e-02 4.8658376130251240e+00 1.0783305775956531e-01
1.4768032259518492e-02 5.4771244367981557e+00 1.3035389340869702e-01
1.5892254755815283e-02 6.1638527746468155e+00 1.5760001954063790e-01
1.7102059149481371e-02 6.9354289050872664e+00 1.9056203284268491e-01
